Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8753393643042621,0.9997893571853638,1297.6505003511236,1406.0546436095506,0.9999452829360962,1423.4990344101122,1323.8668583216293,0.9997922778129578,1231.9855600421347,1309.2563860603932,0.9990708827972412,1492.162416608146,1427.5417617626404,0.9993791580200195,1121.5979195926966,1381.7793846558989,0.9898890256881714,1649.8045119382023,1791.8296392205057,0.986312210559845,917.5898876404494,1848.8631715238764,0.996558427810669,2007.0693469101125,2272.7329266151683,0.9864323139190674,512.315034673455,2375.8478976474717,0.999127984046936,1467.8008251404494,2468.1502589536517,0.9991475343704224,685.6540554775281,1661.7127150632023,0.94437175989151,1576.5685788272472,2736.4156425561796,0.9426273107528687,929.8186885533707,2816.6689343398875,0.5892568230628967,371.4922643082865,3806.3950140449438,0.8299721479415894,258.113862798455,3834.013737710674,0.35572755336761475,2040.740870786517,3295.9274490870785,0.2633691430091858,2152.447155898876,3362.300869030899
1,0.912876588456771,0.9997354745864868,1270.3979985955057,1405.0255661867977,0.9999877214431763,1347.490783005618,1321.4930214185392,0.9998382329940796,1195.9941186797753,1310.7238851825841,0.9996111392974854,1476.5880003511236,1416.789676966292,0.9996621608734131,1055.4616836376404,1383.0533268960673,0.9852529764175415,1608.5555433637642,1791.9407040028088,0.9893474578857422,902.9055258075841,1800.9575359901685,0.9978197813034058,1957.4630222963483,2271.5448560393256,0.9817131757736206,458.1351606390449,2362.4801834620785,0.9984228014945984,1461.810239641854,2490.6994820926966,0.9929834604263306,655.6163316362358,1997.2785946278088,0.9292678236961365,1574.8195005266853,2706.0720681179773,0.964271605014801,944.307650105337,2804.76795119382,0.6196428537368774,320.3950908532303,3897.4315747893256,0.8883168697357178,276.50883295294943,3853.6536165730336,0.5410226583480835,2044.0466994382023,3338.3422138342694,0.6320058107376099,2039.6366748595506,3377.913535814607
2,0.858213368584128,0.9995530843734741,1266.1362140098315,1417.9439518960673,0.9999805688858032,1339.7534234550562,1324.5165028089887,0.9998668432235718,1185.6051834620787,1321.5856522120787,0.9995483160018921,1466.4293363764045,1411.4287658005617,0.9995005130767822,1044.6169680477528,1381.1315835674156,0.974994957447052,1610.9751580056181,1786.4522910814605,0.9745358228683472,930.3517380617977,1839.7732180477528,0.9956494569778442,1954.3701062148875,2268.6756056882023,0.982946515083313,535.5480819873594,2352.4671479985955,0.9980000257492065,1459.3525280898875,2506.09723929073,0.9972018599510193,643.1531118328651,1753.2386982092696,0.9219170808792114,1556.3660024578653,2733.417047050562,0.955547571182251,930.6976825842696,2828.5093925561796,0.6823511123657227,1957.429073033708,3877.042661516854,0.5050687789916992,292.70416739817415,3847.872717696629,0.33252012729644775,2055.8238676264045,3365.774446980337,0.2704446315765381,337.8867955582865,3267.578125
3,0.9020778677042793,0.9997660517692566,1285.2301395716293,1413.0961200842696,0.9999873638153076,1358.9407478932583,1328.8082426264045,0.9998811483383179,1205.1000482794943,1318.1500175561798,0.9996377229690552,1478.3791695926966,1419.4450930477528,0.999727725982666,1055.7366573033707,1384.3375614466293,0.9834803342819214,1611.8426307935392,1786.2747103230336,0.9863800406455994,908.8782917837079,1900.5702027738764,0.9960445165634155,1950.179292485955,2274.5007461376404,0.9599839448928833,521.5754257373594,2371.5890317766853,0.9979285597801208,1452.7838834269662,2509.1551307935392,0.9956119060516357,647.4437763342696,1867.9804468047753,0.9390268325805664,1557.0661867977528,2733.4874034410113,0.959214448928833,940.5495742626404,2829.139527738764,0.6379080414772034,1942.2382373595506,3917.0911165730336,0.8549827933311462,287.5409607619382,3826.8257110252807,0.5634685158729553,2027.3521111306177,3353.1748156601125,0.462293803691864,2083.408795646067,3382.6529143258426
4,0.8728127058814553,0.9996501207351685,1273.3820005266853,1417.732729108146,0.999984085559845,1347.449613764045,1326.6789633075841,0.99985671043396,1195.6779757724719,1317.327247191011,0.9996002912521362,1470.8081767907304,1411.8625790028088,0.9996422529220581,1047.7932979283707,1380.4280196629213,0.9851889610290527,1615.3312631671347,1792.9911341292134,0.9940652847290039,916.739927141854,1826.7499122191011,0.9972957968711853,1954.1512025983147,2267.155723314607,0.9899569749832153,531.9011477352528,2337.48046875,0.9978349208831787,1457.0405986657304,2507.181925912921,0.9981757402420044,746.7073494557585,1795.4073692064605,0.9397051334381104,1555.928348841292,2732.912570224719,0.9568564891815186,923.1987359550562,2812.7219101123596,0.695347785949707,346.2383141678371,3883.501009480337,0.6521053910255432,299.4719759480337,3838.580758426966,0.18215560913085938,1332.283356741573,3534.238061797753,0.4503944516181946,1556.6612535112358,3695.996313202247
5,0.8874197164002586,0.9996941089630127,1268.0424420646068,1423.3010226474719,0.9999864101409912,1340.4473095154494,1331.1548893960673,0.9998959898948669,1182.589997366573,1329.4773964185392,0.9996069669723511,1465.2939562851122,1415.2422972261236,0.9995414018630981,1040.6848446278088,1380.2745567064605,0.9841768741607666,1608.8904274929773,1792.92108497191,0.9795325994491577,916.8488412921347,1842.2407610603932,0.9972702860832214,1954.6221910112358,2264.2294812148875,0.9749208688735962,539.4732158532304,2353.1739378511234,0.9983934164047241,1456.4338132022472,2508.2586244733147,0.985135555267334,612.4331767907304,1852.7161824087077,0.9284974932670593,1565.0944961376404,2713.5915993679773,0.9620530605316162,926.9474411867977,2832.7157215589887,0.44668570160865784,462.05253686797755,3809.389922752809,0.6763617396354675,253.86674859550556,3796.676307935393,0.5553976893424988,2043.117472787921,3300.3516063904494,0.5989850163459778,314.0071760884831,3328.5196629213483
6,0.8638923220774707,0.9996887445449829,1203.372015449438,1435.1672884480336,0.9999771118164062,1312.4494601474719,1326.769136235955,0.9998579025268555,1117.9559778792134,1337.5700711025281,0.9996988773345947,1417.267885358146,1382.4892468398875,0.998969554901123,1033.1447287570224,1405.7510972612358,0.9848595857620239,1615.4223577949438,1798.8168890449438,0.9854022264480591,918.558132900281,1832.5036209620787,0.9961175322532654,1980.1594101123596,2259.382878335674,0.9923628568649292,553.3868833391853,2377.5152519311796,0.9996256828308105,1511.1216204353932,2551.6616046348313,0.9942601919174194,589.5828651685392,1733.7008207514045,0.9254909157752991,1586.6246269311796,2807.091862710674,0.8690699338912964,951.5113456811798,2816.3463395365166,0.4835263192653656,1937.679665554775,3898.26325491573,0.6601974964141846,260.06172094452245,3795.3641151685392,0.2160712480545044,1362.1986481741571,3363.881890800562,0.5809932947158813,1479.8420602176966,3599.9853405898875
7,0.8819254741949194,0.999671459197998,1206.492582514045,1425.239049332865,0.9999663829803467,1313.9180345856741,1319.4218091643259,0.9998008012771606,1121.2631890800562,1331.4246400983145,0.9996476769447327,1415.203125,1384.3206636235955,0.999123752117157,1034.6848885182583,1409.8540423103932,0.9827455282211304,1617.5388869382023,1799.2075359901685,0.9846458435058594,912.1215984901685,1835.9220505617977,0.9945039749145508,1969.3452642205057,2258.1530240519664,0.9940544366836548,587.3832294592696,2364.301000702247,0.9996414184570312,1504.2028836025281,2556.631254389045,0.9966710805892944,540.9573823735955,1714.348512113764,0.9178738594055176,1587.1742670294943,2803.1171875,0.8625180721282959,977.8252501755617,2806.233760533708,0.5601241588592529,1937.5936402738762,3854.316625702247,0.7764527797698975,290.5281886411517,3843.6236832865166,0.4707185626029968,412.8122037394662,3305.9604547050562,0.45457327365875244,329.9604876228932,3320.743284761236
8,0.8868191557772019,0.9997824430465698,1217.69061622191,1427.9079836727528,0.9999644160270691,1329.9514571629213,1323.8734638342696,0.9999024271965027,1134.2800430126404,1329.7830933988764,0.999789834022522,1425.789764747191,1393.0251931179776,0.9993617534637451,1042.2922884480336,1406.0637069873594,0.9805240631103516,1617.2765098314608,1798.8430038623594,0.9939927458763123,929.2309515449438,1827.2477835323034,0.9959230422973633,1974.7040247542136,2259.335718047753,0.9866538047790527,532.792815133427,2372.4379169592694,0.9997267723083496,1513.3802449087077,2552.002172577247,0.9980150461196899,741.2552668539327,1813.0084489115168,0.9153083562850952,1591.0613807935392,2824.3061358848313,0.8698247075080872,955.172028616573,2825.2287570224717,0.6272978782653809,1927.6266897823034,3863.266020014045,0.9086172580718994,298.1459576896067,3810.5635533707864,0.3028571307659149,439.8654647998595,3275.9161253511234,0.4983839690685272,324.3310546875,3341.4996488764045
9,0.8828901052474976,0.9997795820236206,1219.8418627106741,1424.2096646769662,0.9999915361404419,1286.02264747191,1330.2652958216293,0.9999321699142456,1132.1922401685392,1343.0962737008426,0.9997892379760742,1394.809603230337,1381.1483277738764,0.9985118508338928,1016.8626009480336,1401.5330933988764,0.983769416809082,1621.0124648876404,1805.9285682935392,0.9893314838409424,869.8066845154494,1843.0338834269662,0.9931301474571228,1962.0043890449438,2259.566603757022,0.9968376159667969,534.8445180828651,2369.3477659761234,0.9997098445892334,1503.414369733146,2557.6320663623596,0.9854329824447632,542.3761850421347,1736.219518082865,0.906160831451416,1582.9513474367977,2801.865519662921,0.8643249869346619,961.420075491573,2813.6872366573034,0.5965238809585571,314.056640625,3863.4448297050562,0.7299356460571289,264.9488017907303,3800.4509743679773,0.37023037672042847,1417.774359199438,3305.9576896067415,0.5957401990890503,336.2752040905899,3356.861306179775
